Staff_ID,First_Name,Last_Name,Phone_Number,Expertise
1,Ephrayim,Asey,186-690-8447,Electrician
2,Gilda,Garvin,675-350-7802,IT Support
3,Elana,Bennallck,649-420-4084,Plumber
4,Laurie,Raeside,655-234-8563,HVAC Technician
5,Essa,Nickless,616-781-5266,Electrician
6,Aguistin,Miell,592-778-2564,Elevator Specialist
7,Elisabeth,Broker,319-654-6668,General Maintenance
8,Noach,Eunson,616-756-6065,Plumber
9,Sapphire,Verbrugge,462-824-6753,Plumber
10,Silvana,Markey,798-525-1679,IT Support
11,Neysa,Gladstone,632-384-3888,Plumber
12,Audrie,Romaint,568-569-3287,Plumber
13,Langston,Averies,821-919-1967,Elevator Specialist
14,Tanitansy,Quinn,914-839-4992,Electrician
15,Pietra,Timcke,158-987-3810,Plumber
16,Ema,Kinnoch,194-694-5585,HVAC Technician
17,Shaylynn,Morson,246-755-4097,Plumber
18,Son,O'Loghlen,558-776-0105,Elevator Specialist
19,Veronika,MacSharry,385-362-2668,General Maintenance
20,Dorotea,Glancy,948-424-4965,Plumber
21,Shina,Acland,388-233-9111,Elevator Specialist
22,Perry,Noteyoung,730-592-0412,General Maintenance
23,Angelica,Quail,305-241-9564,General Maintenance
24,Svend,Hardi,229-859-5950,Electrician
25,Tristam,MacGettigen,508-106-3233,General Maintenance
26,Angie,Brandenburg,182-659-3087,General Maintenance
27,Pammi,Hymus,215-345-6422,IT Support
28,Luke,Billion,340-916-7859,Electrician
29,Cosimo,Van Daalen,756-659-4419,Plumber
30,Meier,Ilbert,979-741-7579,Plumber
31,Germayne,Guinan,822-980-6886,Plumber
32,Alana,Sinclair,915-846-9808,General Maintenance
33,Jillana,Nottingam,719-918-7916,Electrician
34,Shelby,Fisby,893-708-0284,Plumber
35,Modesty,Pask,203-930-3606,Electrician
36,Saleem,Rankin,254-569-5777,HVAC Technician
37,Cherri,Ollivierre,113-467-3070,IT Support
38,Quinn,Stiffell,828-618-0200,IT Support
39,Alexei,Camellini,792-785-8745,Plumber
40,Leora,Fallon,389-818-2206,Elevator Specialist
41,Reed,Marchi,851-456-4857,Electrician
42,Bevan,Farrears,462-260-8586,General Maintenance
43,Craig,Elcomb,751-740-3471,HVAC Technician
44,Raymond,Downs,311-735-4564,Plumber
45,Lizabeth,Wintle,867-866-9685,IT Support
46,Hagan,Ashe,528-380-2198,Elevator Specialist
47,Amara,Bostock,804-629-6279,Electrician
48,Agneta,Peracco,966-647-6156,Plumber
49,Jecho,Bilborough,729-498-3266,Elevator Specialist
50,Adaline,Isakson,614-414-2961,Electrician
51,Neddy,Palfreyman,791-214-9092,Plumber
52,Drew,Pitman,717-127-2491,Plumber
53,Ernesta,Apps,948-576-1525,Electrician
54,Shurlocke,Dirand,349-874-7776,Electrician
55,Chandler,Soda,116-430-9036,Electrician
56,Ariella,Woolens,390-708-4962,IT Support
57,Delano,Thys,744-398-2802,IT Support
58,Zeb,Drillingcourt,771-936-8419,Elevator Specialist
59,Pollyanna,Kornilyev,615-908-3316,Plumber
60,Moira,Kinane,801-810-5594,Elevator Specialist
61,Dede,Jaggers,837-784-7555,Elevator Specialist
62,Arlen,Lefridge,632-158-3106,Elevator Specialist
63,Floyd,Cejka,649-618-4350,General Maintenance
64,Nicolais,Cawdery,256-243-7331,Elevator Specialist
65,Garnette,Toth,585-128-7923,Elevator Specialist
66,Meaghan,Tapsell,259-328-0367,Plumber
67,Crosby,O'Dea,888-394-3310,HVAC Technician
68,Corilla,Jinks,966-805-5004,Plumber
69,Cleopatra,Sampey,819-802-1706,General Maintenance
70,Brandise,Milstead,949-476-0921,IT Support
71,Malcolm,MacDwyer,148-793-8763,IT Support
